week_end,week_no,q10,q25,q50,q75,q90,bear,base,bull,P_ge_cost,P_ge_238,P_ge_245,P_ge_261,P_ge_350,P_m10,stance,tags,primary_action,triggers,cashflow
2026-10-02,11,1319802,1685164,2056711,2428259,2793620,1862415,1944451,2419353,0.389,0.32,0.273,0.218,0.064,0.182,현금화준비,,상단 터치 확률 유의 → 238부터 탄약 매도 지정가 필수.,IF ≥238만: 탄약 3주 매도 (누적현금↑) [P≈32%] || IF ≥245만: 탄약 +3주 매도 [P≈27%] || IF ≥261만: 탄약 +3주 매도 [P≈22%] || IF 매도평균 대비 −12/−18/−25%: 현금 40/40/20 재매수 || IF ≥350만: 코어 12주 익절→대출상환 [P≈6%] || IF ≤166만(추가 −10%): 신규매수 금지·홀드 / 여유현금 있을 때만 3차 대기,조건부 유입: 탄약 매도 시 주당 238~261만
2026-10-09,12,1283428,1667539,2063079,2458618,2842730,1841096,1973087,2480449,0.397,0.334,0.293,0.227,0.075,0.177,현금화준비,,상단 터치 확률 유의 → 238부터 탄약 매도 지정가 필수.,IF ≥238만: 탄약 3주 매도 (누적현금↑) [P≈33%] || IF ≥245만: 탄약 +3주 매도 [P≈29%] || IF ≥261만: 탄약 +3주 매도 [P≈23%] || IF 매도평균 대비 −12/−18/−25%: 현금 40/40/20 재매수 || IF ≥350만: 코어 12주 익절→대출상환 [P≈7%] || IF ≤166만(추가 −10%): 신규매수 금지·홀드 / 여유현금 있을 때만 3차 대기,조건부 유입: 탄약 매도 시 주당 238~261만
2026-10-16,13,1293672,1674818,2103785,2532752,2913898,1844215,1975665,2539953,0.406,0.343,0.298,0.249,0.076,0.175,현금화준비,,상단 터치 확률 유의 → 238부터 탄약 매도 지정가 필수.,IF ≥238만: 탄약 3주 매도 (누적현금↑) [P≈34%] || IF ≥245만: 탄약 +3주 매도 [P≈30%] || IF ≥261만: 탄약 +3주 매도 [P≈25%] || IF 매도평균 대비 −12/−18/−25%: 현금 40/40/20 재매수 || IF ≥350만: 코어 12주 익절→대출상환 [P≈8%] || IF ≤166만(추가 −10%): 신규매수 금지·홀드 / 여유현금 있을 때만 3차 대기,조건부 유입: 탄약 매도 시 주당 238~261만
2026-10-23,14,1248803,1695245,2132338,2569430,3015873,1865811,2018189,2606624,0.403,0.353,0.31,0.26,0.1,0.18,현금화준비,Q3실적,"상단 터치 확률 유의 → 238부터 탄약 매도 지정가 필수. | 이벤트창: 매도는 허용, 재매수는 발표 익일 종가 후.",IF ≥238만: 탄약 3주 매도 (누적현금↑) [P≈35%] || IF ≥245만: 탄약 +3주 매도 [P≈31%] || IF ≥261만: 탄약 +3주 매도 [P≈26%] || IF 매도평균 대비 −12/−18/−25%: 현금 40/40/20 재매수 || IF ≥350만: 코어 12주 익절→대출상환 [P≈10%] || IF ≤166만(추가 −10%): 신규매수 금지·홀드 / 여유현금 있을 때만 3차 대기,조건부 유입: 탄약 매도 시 주당 238~261만
2026-10-30,15,1195702,1704798,2129313,2553829,3062925,1867881,2005491,2640268,0.438,0.361,0.333,0.264,0.112,0.176,현금화준비,Q3실적,"상단 터치 확률 유의 → 238부터 탄약 매도 지정가 필수. | 이벤트창: 매도는 허용, 재매수는 발표 익일 종가 후.",IF ≥238만: 탄약 3주 매도 (누적현금↑) [P≈36%] || IF ≥245만: 탄약 +3주 매도 [P≈33%] || IF ≥261만: 탄약 +3주 매도 [P≈26%] || IF 매도평균 대비 −12/−18/−25%: 현금 40/40/20 재매수 || IF ≥350만: 코어 12주 익절→대출상환 [P≈11%] || IF ≤166만(추가 −10%): 신규매수 금지·홀드 / 여유현금 있을 때만 3차 대기,조건부 유입: 탄약 매도 시 주당 238~261만
2026-11-06,16,1212232,1716966,2181631,2646295,3151029,1891218,2029820,2678242,0.463,0.416,0.365,0.289,0.123,0.171,현금화준비,Q3실적,"상단 터치 확률 유의 → 238부터 탄약 매도 지정가 필수. | 이벤트창: 매도는 허용, 재매수는 발표 익일 종가 후.",IF ≥238만: 탄약 3주 매도 (누적현금↑) [P≈42%] || IF ≥245만: 탄약 +3주 매도 [P≈36%] || IF ≥261만: 탄약 +3주 매도 [P≈29%] || IF 매도평균 대비 −12/−18/−25%: 현금 40/40/20 재매수 || IF ≥350만: 코어 12주 익절→대출상환 [P≈12%] || IF ≤166만(추가 −10%): 신규매수 금지·홀드 / 여유현금 있을 때만 3차 대기,조건부 유입: 탄약 매도 시 주당 238~261만
2026-11-13,17,1198414,1710155,2202758,2695361,3207102,1887599,2028194,2743456,0.472,0.42,0.361,0.298,0.129,0.176,현금화준비,,상단 터치 확률 유의 → 238부터 탄약 매도 지정가 필수.,IF ≥238만: 탄약 3주 매도 (누적현금↑) [P≈42%] || IF ≥245만: 탄약 +3주 매도 [P≈36%] || IF ≥261만: 탄약 +3주 매도 [P≈30%] || IF 매도평균 대비 −12/−18/−25%: 현금 40/40/20 재매수 || IF ≥350만: 코어 12주 익절→대출상환 [P≈13%] || IF ≤166만(추가 −10%): 신규매수 금지·홀드 / 여유현금 있을 때만 3차 대기,조건부 유입: 탄약 매도 시 주당 238~261만
2026-11-20,18,1110088,1705223,2216790,2728358,3323492,1892862,2045527,2827176,0.482,0.421,0.382,0.313,0.148,0.166,현금화준비,,상단 터치 확률 유의 → 238부터 탄약 매도 지정가 필수.,IF ≥238만: 탄약 3주 매도 (누적현금↑) [P≈42%] || IF ≥245만: 탄약 +3주 매도 [P≈38%] || IF ≥261만: 탄약 +3주 매도 [P≈31%] || IF 매도평균 대비 −12/−18/−25%: 현금 40/40/20 재매수 || IF ≥350만: 코어 12주 익절→대출상환 [P≈15%] || IF ≤166만(추가 −10%): 신규매수 금지·홀드 / 여유현금 있을 때만 3차 대기,조건부 유입: 탄약 매도 시 주당 238~261만
2026-11-27,19,1123543,1706813,2257387,2807962,3391232,1846827,2082761,2897553,0.493,0.432,0.396,0.32,0.154,0.166,현금화준비,,상단 터치 확률 유의 → 238부터 탄약 매도 지정가 필수.,IF ≥238만: 탄약 3주 매도 (누적현금↑) [P≈43%] || IF ≥245만: 탄약 +3주 매도 [P≈40%] || IF ≥261만: 탄약 +3주 매도 [P≈32%] || IF 매도평균 대비 −12/−18/−25%: 현금 40/40/20 재매수 || IF ≥350만: 코어 12주 익절→대출상환 [P≈15%] || IF ≤166만(추가 −10%): 신규매수 금지·홀드 / 여유현금 있을 때만 3차 대기,조건부 유입: 탄약 매도 시 주당 238~261만
2026-12-04,20,1118198,1703041,2274663,2846285,3431127,1855511,2062598,2961635,0.509,0.456,0.383,0.332,0.162,0.162,현금화준비,연말,상단 터치 확률 유의 → 238부터 탄약 매도 지정가 필수.,IF ≥238만: 탄약 3주 매도 (누적현금↑) [P≈46%] || IF ≥245만: 탄약 +3주 매도 [P≈38%] || IF ≥261만: 탄약 +3주 매도 [P≈33%] || IF 매도평균 대비 −12/−18/−25%: 현금 40/40/20 재매수 || IF ≥350만: 코어 12주 익절→대출상환 [P≈16%] || IF ≤166만(추가 −10%): 신규매수 금지·홀드 / 여유현금 있을 때만 3차 대기,조건부 유입: 탄약 매도 시 주당 238~261만
2026-12-11,21,1112420,1733824,2335880,2937935,3559340,1851347,2096753,3042739,0.536,0.465,0.428,0.35,0.171,0.168,현금화준비,연말,상단 터치 확률 유의 → 238부터 탄약 매도 지정가 필수.,IF ≥238만: 탄약 3주 매도 (누적현금↑) [P≈46%] || IF ≥245만: 탄약 +3주 매도 [P≈43%] || IF ≥261만: 탄약 +3주 매도 [P≈35%] || IF 매도평균 대비 −12/−18/−25%: 현금 40/40/20 재매수 || IF ≥350만: 코어 12주 익절→대출상환 [P≈17%] || IF ≤166만(추가 −10%): 신규매수 금지·홀드 / 여유현금 있을 때만 3차 대기,조건부 유입: 탄약 매도 시 주당 238~261만
2026-12-18,22,1054351,1741477,2350565,2959654,3646780,1853614,2142664,3070244,0.542,0.48,0.449,0.36,0.184,0.161,현금화준비,연말,상단 터치 확률 유의 → 238부터 탄약 매도 지정가 필수.,IF ≥238만: 탄약 3주 매도 (누적현금↑) [P≈48%] || IF ≥245만: 탄약 +3주 매도 [P≈45%] || IF ≥261만: 탄약 +3주 매도 [P≈36%] || IF 매도평균 대비 −12/−18/−25%: 현금 40/40/20 재매수 || IF ≥350만: 코어 12주 익절→대출상환 [P≈18%] || IF ≤166만(추가 −10%): 신규매수 금지·홀드 / 여유현금 있을 때만 3차 대기,조건부 유입: 탄약 매도 시 주당 238~261만
2026-12-25,23,1031906,1723268,2370946,3018624,3709986,1838368,2199099,3089223,0.556,0.492,0.454,0.368,0.195,0.163,현금화준비,연말,상단 터치 확률 유의 → 238부터 탄약 매도 지정가 필수.,IF ≥238만: 탄약 3주 매도 (누적현금↑) [P≈49%] || IF ≥245만: 탄약 +3주 매도 [P≈45%] || IF ≥261만: 탄약 +3주 매도 [P≈37%] || IF 매도평균 대비 −12/−18/−25%: 현금 40/40/20 재매수 || IF ≥350만: 코어 12주 익절→대출상환 [P≈20%] || IF ≤166만(추가 −10%): 신규매수 금지·홀드 / 여유현금 있을 때만 3차 대기,조건부 유입: 탄약 매도 시 주당 238~261만
2027-01-01,24,1001707,1751792,2424989,3098187,3848272,1842400,2281229,3180045,0.59,0.526,0.491,0.379,0.204,0.168,현금화준비,,상단 터치 확률 유의 → 238부터 탄약 매도 지정가 필수.,IF ≥238만: 탄약 3주 매도 (누적현금↑) [P≈53%] || IF ≥245만: 탄약 +3주 매도 [P≈49%] || IF ≥261만: 탄약 +3주 매도 [P≈38%] || IF 매도평균 대비 −12/−18/−25%: 현금 40/40/20 재매수 || IF ≥350만: 코어 12주 익절→대출상환 [P≈20%] || IF ≤166만(추가 −10%): 신규매수 금지·홀드 / 여유현금 있을 때만 3차 대기,조건부 유입: 탄약 매도 시 주당 238~261만
